baseMean_M	log2FoldChange_M	lfcSE_M	stat_M	pvalue_M	padj_M
Tsga10	630.285928742398	-0.0196384444051423	0.00758738842214989	-2.58830091626938	0.00964506821476431	0.140186844006298
Lipt1	24.6436993583412	0.0162270119450646	0.0187784390655974	0.864129967798705	0.387516498167767	0.719204396588115
Mitd1	143.343878333826	0.00385176653061912	0.0106478314567478	0.36174187638725	0.717544930446253	0.900907990323821
Mrpl30	399.392569850914	-0.00328563365663853	0.00642457520145285	-0.511416483364615	0.609059455248404	0.855572217727855
Txndc9	677.653239796134	-0.00727650177281433	0.00405441260027011	-1.794711710478	0.0726996437931113	0.36790160693698
Eif5b	1787.2282245887	-0.00301625260142118	0.00500140656802164	-0.60308086543228	0.546454894981658	0.818800677924229
Rev1	490.647248125746	-0.00889209319851616	0.00688567820405129	-1.29138959663906	0.196568616235032	0.549177320767669
Aff3	7.57143170918202	-0.105611181301427	0.0380552187826043	-2.7752088854027	0.00551662630021754	0.105178801463667
Pdcl3	201.993435629116	0.00231841100175131	0.00696793720167327	0.332725587881959	0.739341432681269	0.912414295828829
Rpl31	3980.98624182658	-1.37059043086474e-05	0.00544151053364307	-0.0025187683133035	0.997990315775547	0.999667088068672
Tbc1d8	651.32850163673	0.0167322070179302	0.0180560085658817	0.926683599915163	0.354090834983522	0.690343065083004
Cnot11	412.599292625649	0.00354048429929683	0.00560276437444403	0.631917400532868	0.527440852493705	0.807241067667538
Snord89	35.1414157568979	-0.0117383725807593	0.0318411218147613	-0.368654491793612	0.712385273329321	0.899374823208518
Rnf149	1024.96595277103	0.0132728781291927	0.00571155819158982	2.32386289064458	0.0201328437357726	0.205858949810704
Creg2	3.40899509757942	0.040971098890811	0.0500022615798657	0.819384915727667	0.412566838353364	NA
Map4k4	2564.08290797501	-0.00433387359046719	0.00729479125497321	-0.594105223711862	0.55244173727193	0.82169358139857
Gm16894	1.73560135539363	-0.0168902482973828	0.0822036291678596	-0.205468401679601	0.83720618322028	NA
Il1r1	22.8865281993965	-0.0892892998004539	0.0185100821691879	-4.82381974236106	1.40834706698292e-06	0.000394837924379035
Il1rl2	4.88435037045976	0.153556412820151	0.106644593319993	1.43988933746877	NA	NA
Il1rl1	166.124694865104	-0.00511332902278565	0.0227095951067129	-0.225161611149737	0.821853552516343	0.943887884708084
Il18r1	35.8402872813645	0.152270637815858	0.0673066476682486	2.26234173133081	0.0236762979801597	0.223077054008734
Il18rap	74.9184926354371	0.169800238613548	0.069793283766612	2.43290227153315	NA	NA
Slc9a4	23.4113470723277	0.0263983726519972	0.0471992910754372	0.559295956581329	NA	NA
Mfsd9	91.4720894581471	0.0168292682726135	0.0101074962763948	1.66502839203778	0.0959070915351625	0.411552335648847
Mrps9	565.774730237862	-0.000431632743153008	0.0047755165395612	-0.0903845143404462	0.927981662087981	0.982269097043847
Tgfbrap1	918.883235586563	-0.000558685119402721	0.00435102205980668	-0.128403191646319	0.897829905498287	0.971526038919838
AI597479	230.064494072376	0.000793009636734699	0.00641627579915172	0.123593446036023	0.901637182003988	0.972322970491836
Nck2	579.289785226765	-0.0112383012556763	0.00879224098337255	-1.27820669120985	0.201176557472005	0.551687983432533
Uxs1	1001.16846506212	0.0122026203846518	0.00856699296234909	1.42437614204667	0.154337616747328	0.495823919558123
Tpp2	3231.53520989434	-0.00902056441592376	0.00449784769374609	-2.00552909527509	0.0449065134873289	0.297936922532585
Mettl21c	1.01815475587744	-0.120819849802599	0.100291505344411	-1.20468677170306	0.228324244630742	NA
Tex30	70.9477939674837	-0.017348959468461	0.0131581094708737	-1.31849940197443	0.187336525115313	0.5365352101827
Kdelc1	168.13840718027	0.000745742357424357	0.00744900105380777	0.100113069126651	0.92025455979789	0.979585254298325
Bivm	183.728971986027	-0.00894117154457611	0.00936935536643545	-0.954299543019442	0.339932039299163	0.676859628756036
Ercc5	383.444368508664	-0.0133006947394532	0.00767774435365303	-1.7323700981428	0.0832076884052343	0.389985163857587
Col3a1	21.8195026445389	0.0815419346299018	0.0421478122873117	1.9346658866669	0.0530313091163239	0.321458804946363
Col5a2	2.9223707372398	0.0414809461481663	0.0856637900150862	0.484229639394441	0.628222904147243	NA
Wdr75	281.277431653664	-0.0046879172069969	0.0097336590362585	-0.481619213240788	0.630076474897679	0.864229729993117
